name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Elanga,MUN,MID,4.9,Available,0,0,0,0.0,0.0
Varane,MUN,DEF,5.5,Available,450,20,3,4.0,4.4
Ronaldo,MUN,FWD,12.7,Available,303,22,3,5.5,47.6
Willock,NEW,MID,5.9,Doubtful,464,11,0,1.8,0.8
Shelvey,NEW,MID,5.3,Injured,69,1,0,1.0,0.0
Ritchie,NEW,DEF,5.0,Available,630,8,0,1.1,0.3
Clark,NEW,DEF,4.4,Available,443,5,0,1.0,0.1
Darlow,NEW,GKP,4.5,Available,270,11,3,3.7,0.4
Dubravka,NEW,GKP,4.4,Injured,0,0,0,0.0,0.1
Wilson,NEW,FWD,7.3,Injured,242,16,3,5.3,0.9
Hendrick,NEW,MID,4.8,Available,59,7,0,3.5,0.0
Fraser,NEW,MID,5.4,Available,55,7,0,1.8,0.1
Lascelles,NEW,DEF,4.4,Injured,360,3,0,0.8,0.2
Gayle,NEW,FWD,5.3,Available,20,2,0,1.0,0.2
Dummett,NEW,DEF,4.5,Injured,0,0,0,0.0,0.0
Manquillo,NEW,DEF,4.0,Available,315,13,0,3.2,9.0
Krafth,NEW,DEF,4.4,Available,93,1,0,0.5,0.1
Murphy,NEW,MID,5.0,Available,315,17,0,2.4,0.8
Schär,NEW,DEF,4.4,Available,180,0,0,0.0,0.2
Hayden,NEW,MID,4.5,Available,495,10,0,1.7,0.1
Saint-Maximin,NEW,FWD,6.8,Available,630,37,7,5.3,16.6
Almirón,NEW,MID,5.4,Available,575,13,0,1.9,0.4
S.Longstaff,NEW,MID,4.5,Available,501,18,1,2.6,0.7
Joelinton,NEW,FWD,5.8,Available,398,14,0,2.0,0.4
Lewis,NEW,DEF,4.3,Available,6,1,0,1.0,0.1
M.Longstaff,NEW,MID,4.5,NotAvail,0,0,0,0.0,0.1
Fernández,NEW,DEF,4.4,Available,437,5,0,1.0,0.2
Woodman,NEW,GKP,4.5,Injured,360,9,0,2.2,0.5
Gillespie,NEW,GKP,4.0,Available,0,0,0,0.0,0.3
White,NEW,MID,4.5,Available,0,0,0,0.0,0.1
Anderson,NEW,MID,4.5,Available,0,0,0,0.0,0.0
Gilmour,NOR,MID,4.5,Available,348,9,1,2.2,6.3
Williams,NOR,DEF,4.0,Available,355,3,0,0.8,6.7
McGovern,NOR,GKP,4.0,Available,0,0,0,0.0,0.7
Krul,NOR,GKP,4.5,Available,630,16,2,2.3,1.3
Pukki,NOR,FWD,5.9,Available,573,23,1,3.3,5.2
Stiepermann,NOR,MID,5.0,NotAvail,0,0,0,0.0,0.0
Rupp,NOR,MID,4.5,Available,241,7,0,1.4,0.1
McLean,NOR,MID,4.9,Available,495,12,0,2.0,0.0
Hanley,NOR,DEF,4.4,Available,630,12,1,1.7,0.1
Hernández,NOR,MID,4.9,NotAvail,0,0,0,0.0,0.0
Byram,NOR,DEF,4.4,Injured,0,0,0,0.0,0.0
Hugill,NOR,FWD,5.4,NotAvail,0,0,0,0.0,0.0
Dowell,NOR,MID,5.3,Available,65,4,0,2.0,0.0
Zimmermann,NOR,DEF,4.4,Injured,0,0,0,0.0,0.1
Cantwell,NOR,MID,5.3,Injured,313,6,0,1.2,0.3
Aarons,NOR,DEF,4.4,Available,630,12,2,1.7,1.5
Sørensen,NOR,DEF,4.4,Available,0,0,0,0.0,0.1
Placheta,NOR,MID,4.9,Injured,0,0,0,0.0,0.0
Idah,NOR,FWD,5.0,Available,37,5,0,1.0,0.4
Martin,NOR,MID,5.0,NotAvail,0,0,0,0.0,0.0
Omobamidele,NOR,DEF,3.9,Available,90,2,0,2.0,4.2
Gunn,NOR,GKP,4.0,Available,0,0,0,0.0,1.7
Rashica,NOR,MID,5.3,Available,395,11,0,1.6,0.1
Gibson,NOR,DEF,4.4,Available,450,9,0,1.8,0.1
Giannoulis,NOR,DEF,4.4,Available,229,8,0,2.0,0.1
Lees-Melou,NOR,MID,5.0,Available,511,14,0,2.3,0.1
Mumba,NOR,DEF,4.0,Available,45,0,0,0.0,0.3
Sargent,NOR,FWD,5.4,Available,291,9,0,1.5,0.1
Tzolis,NOR,MID,5.0,Available,109,4,0,1.3,0.1
Kabak,NOR,DEF,4.5,Available,248,8,0,2.7,0.0
Normann,NOR,MID,4.5,Available,227,9,0,3.0,0.1
Walcott,SOU,MID,5.8,Available,169,4,0,1.3,0.1
Forster,SOU,GKP,4.4,Available,0,0,0,0.0,0.8
McCarthy,SOU,GKP,4.5,Available,630,23,0,3.3,2.0
Romeu,SOU,MID,4.5,Available,578,12,0,1.7,0.6
Redmond,SOU,MID,5.9,Available,368,12,0,2.0,0.1
Stephens,SOU,DEF,4.4,Injured,396,9,0,1.8,0.1
S.Armstrong,SOU,MID,5.8,Available,0,0,0,0.0,0.1
Ward-Prowse,SOU,MID,6.4,Suspended,616,24,2,3.4,3.0
Walker-Peters,SOU,DEF,4.8,Available,354,9,0,1.8,0.5
Bednarek,SOU,DEF,4.4,Available,315,13,3,3.2,0.7
Nlundulu,SOU,FWD,4.5,NotAvail,0,0,0,0.0,0.0
Adams,SOU,FWD,6.9,Available,380,16,0,3.2,1.1
Tella,SOU,MID,4.8,Available,82,3,0,1.5,0.1
Smallbone,SOU,MID,4.5,Doubtful,0,0,0,0.0,0.0
Obafemi,SOU,FWD,4.5,NotAvail,0,0,0,0.0,4.8
Diallo,SOU,MID,4.5,Available,114,5,0,1.0,0.1
Djenepo,SOU,MID,5.4,Available,349,7,0,1.2,0.1
Salisu,SOU,DEF,4.5,Available,593,15,3,2.1,0.2
Perraud,SOU,DEF,4.9,Available,254,10,0,2.5,0.1
Livramento,SOU,DEF,4.2,Available,625,21,0,3.0,12.7
Elyounoussi,SOU,MID,5.5,Available,363,17,1,3.4,0.2
Broja,SOU,FWD,5.0,Available,83,4,0,1.0,0.5
Long,SOU,FWD,5.4,Available,16,1,0,1.0,0.1
A.Armstrong,SOU,FWD,6.0,Available,613,21,0,3.0,2.6
Valery,SOU,DEF,4.0,Available,0,0,0,0.0,0.5
Lyanco,SOU,DEF,4.5,Available,0,0,0,0.0,0.0
Hart,TOT,GKP,4.5,NotAvail,0,0,0,0.0,0.0
Lloris,TOT,GKP,5.6,Available,540,33,6,5.5,9.7
Alderweireld,TOT,DEF,5.0,NotAvail,0,0,0,0.0,0.0
Lamela,TOT,MID,6.0,NotAvail,0,0,0,0.0,0.0
Kane,TOT,FWD,12.1,Available,378,7,0,1.4,5.1
Aurier,TOT,DEF,4.9,NotAvail,0,0,0,0.0,0.2
Son,TOT,MID,10.0,Available,428,32,4,6.4,12.2
Doherty,TOT,DEF,4.7,Available,7,1,0,1.0,0.3
Dier,TOT,DEF,4.6,Available,461,23,2,3.8,5.9
Lucas Moura,TOT,MID,6.4,Available,358,9,0,1.8,0.6
Dele,TOT,MID,6.5,Available,495,19,1,3.2,2.1
Davies,TOT,DEF,4.4,Doubtful,30,0,0,0.0,0.2
Højbjerg,TOT,MID,4.9,Available,539,14,0,2.3,1.9
Winks,TOT,MID,4.5,Available,60,2,0,1.0,1.3
Sánchez,TOT,DEF,4.5,Available,367,21,2,4.2,1.8
Sessegnon,TOT,DEF,4.3,Injured,0,0,0,0.0,0.1
Bergwijn,TOT,MID,5.9,Injured,233,15,0,5.0,0.4
Reguilón,TOT,DEF,5.1,Available,540,28,4,4.7,10.8
Tanganga,TOT,DEF,4.6,Available,364,14,0,2.8,2.1
Lo Celso,TOT,MID,5.9,Available,97,4,0,1.3,0.1
Skipp,TOT,MID,4.5,Available,433,10,0,1.7,1.4
Rodon,TOT,DEF,4.4,Available,78,1,0,1.0,0.1
Ndombele,TOT,MID,5.8,Available,130,4,0,2.0,0.2
Gollini,TOT,GKP,4.4,Available,0,0,0,0.0,0.2
Bryan,TOT,MID,5.8,Available,50,3,0,1.0,0.1
Romero,TOT,DEF,4.9,Available,83,2,0,1.0,0.3
Scarlett,TOT,FWD,4.5,Available,0,0,0,0.0,3.4
Emerson Royal,TOT,DEF,5.0,Available,225,3,0,1.0,0.2
Markanday,TOT,MID,4.5,Available,0,0,0,0.0,0.0
Omole,TOT,DEF,4.0,Available,0,0,0,0.0,0.1
Sissoko,WAT,MID,4.5,Available,430,9,0,1.8,3.0
Foster,WAT,GKP,4.0,Available,270,8,0,2.7,21.2
Rose,WAT,DEF,4.3,Available,360,5,0,1.2,0.3
Gosling,WAT,MID,4.8,Available,21,1,0,1.0,0.0
Cathcart,WAT,DEF,4.4,Available,384,5,0,1.0,0.1
Deeney,WAT,FWD,5.4,NotAvail,23,2,0,1.0,0.5
Cleverley,WAT,MID,5.0,Available,313,11,0,2.2,0.1
Femenía,WAT,DEF,4.4,Available,214,7,0,2.3,0.1
Gray,WAT,FWD,5.4,NotAvail,0,0,0,0.0,0.1
Kabasele,WAT,DEF,4.4,Available,202,3,0,1.0,0.1
Chalobah,WAT,MID,5.0,NotAvail,0,0,0,0.0,0.0
Troost-Ekong,WAT,DEF,4.5,Available,630,10,0,1.4,0.2
Perica,WAT,FWD,4.5,NotAvail,0,0,0,0.0,1.2
Bachmann,WAT,GKP,4.5,Available,360,8,0,2.0,1.8
Masina,WAT,DEF,4.4,Available,270,4,0,1.3,0.1
Sema,WAT,MID,5.3,Available,242,6,0,1.2,0.0
Zinckernagel,WAT,MID,5.5,NotAvail,0,0,0,0.0,0.0
Success,WAT,FWD,5.0,NotAvail,0,0,0,0.0,0.2
Dele-Bashiru,WAT,MID,4.5,NotAvail,0,0,0,0.0,0.0
Fletcher,WAT,FWD,4.9,Available,0,0,0,0.0,0.2
Sierralta,WAT,DEF,4.3,Doubtful,247,3,0,1.0,0.1
Quina,WAT,MID,4.5,NotAvail,0,0,0,0.0,0.0
Navarro,WAT,DEF,4.0,NotAvail,0,0,0,0.0,0.3
Sarr,WAT,MID,6.3,Available,630,40,7,5.7,18.7
Ngakia,WAT,DEF,4.4,Available,183,4,0,1.0,0.0
Wilmot,WAT,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Hungbo,WAT,MID,4.5,NotAvail,0,0,0,0.0,0.0
Louza,WAT,MID,5.3,Available,45,1,0,1.0,0.0
João Pedro,WAT,FWD,5.4,Available,57,2,0,1.0,0.1
Baah,WAT,MID,4.5,Available,0,0,0,0.0,0.1
Dennis,WAT,FWD,5.3,Available,571,24,3,3.4,11.1
Pollock,WAT,DEF,4.0,NotAvail,0,0,0,0.0,0.4
Etebo,WAT,MID,4.5,Injured,369,7,0,1.2,0.3
King,WAT,FWD,5.5,Doubtful,366,20,2,3.3,1.0
Mebude,WAT,FWD,4.5,NotAvail,0,0,0,0.0,0.1
Cucho,WAT,FWD,5.0,Available,131,9,1,2.2,1.8
Kucka,WAT,MID,5.5,Available,491,12,0,2.0,0.0
Tufan,WAT,MID,5.0,Available,103,2,0,1.0,0.0
Elliot,WAT,GKP,4.0,Available,0,0,0,0.0,0.8
Zouma,WHU,DEF,5.4,Available,180,3,0,1.5,1.2
Noble,WHU,MID,4.5,Available,3,0,0,0.0,0.6
Randolph,WHU,GKP,4.4,Available,0,0,0,0.0,0.2
Fabianski,WHU,GKP,5.0,Available,540,16,0,2.7,2.0
Ogbonna,WHU,DEF,5.0,Available,540,16,3,2.7,0.3
Reid,WHU,DEF,4.0,NotAvail,0,0,0,0.0,1.3
Cresswell,WHU,DEF,5.5,Available,540,25,3,4.2,15.5
Yarmolenko,WHU,MID,5.3,Available,35,6,0,1.0,0.1
Antonio,WHU,FWD,8.0,Available,448,47,11,9.4,45.5
Dawson,WHU,DEF,5.0,Available,361,11,0,2.2,0.3
Fredericks,WHU,DEF,4.4,Doubtful,2,1,0,1.0,0.1
Lanzini,WHU,MID,5.8,Available,13,2,0,1.0,0.1
Masuaku,WHU,DEF,4.4,Available,0,0,0,0.0,0.0
Coufal,WHU,DEF,5.0,Doubtful,540,16,0,2.7,7.4
Benrahma,WHU,MID,6.6,Available,503,42,8,7.0,37.4
Bowen,WHU,MID,6.3,Available,519,19,0,3.2,0.9
Rice,WHU,MID,5.0,Available,540,19,2,3.2,4.7
Soucek,WHU,MID,5.9,Available,540,19,1,3.2,6.1
Fornals,WHU,MID,6.0,Available,523,26,1,4.3,2.9
Diop,WHU,DEF,4.3,Available,0,0,0,0.0,0.3
Johnson,WHU,DEF,4.0,Available,1,1,0,1.0,1.9
Areola,WHU,GKP,4.8,Available,0,0,0,0.0,0.8
Alves,WHU,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Coventry,WHU,MID,4.5,NotAvail,0,0,0,0.0,0.1
Baptiste,WHU,DEF,4.0,Available,0,0,0,0.0,0.3
Vlasic,WHU,MID,6.0,Available,106,4,0,1.3,0.1
Kral,WHU,MID,4.5,Available,0,0,0,0.0,0.1
Moutinho,WOL,MID,5.0,Available,586,17,1,2.4,0.7
Patrício,WOL,GKP,5.0,NotAvail,0,0,0,0.0,0.0
Boly,WOL,DEF,4.9,Available,0,0,0,0.0,0.1
Coady,WOL,DEF,4.5,Available,626,20,0,2.9,6.5
Jiménez,WOL,FWD,7.5,Available,630,26,4,3.7,5.7
Saïss,WOL,DEF,5.0,Available,578,19,1,2.7,1.0
Marçal,WOL,DEF,4.6,Available,611,28,3,4.0,8.0
Jonny,WOL,DEF,4.5,Injured,0,0,0,0.0,0.0
Dendoncker,WOL,MID,4.8,Available,136,6,0,1.5,0.1
Traoré,WOL,MID,6.0,Available,456,13,0,1.9,3.4
Neves,WOL,MID,5.4,Available,542,12,0,1.7,1.1
Semedo,WOL,DEF,4.9,Available,527,19,0,3.2,3.7
Podence,WOL,MID,5.5,Available,117,6,0,1.5,0.1
Kilman,WOL,DEF,4.5,Available,630,20,0,2.9,0.4
Gibbs-White,WOL,MID,4.5,NotAvail,7,1,0,0.5,0.2
Neto,WOL,MID,6.4,Injured,0,0,0,0.0,0.0
Otasowie,WOL,MID,4.5,NotAvail,0,0,0,0.0,0.1
Hoever,WOL,DEF,4.0,Available,93,2,0,1.0,2.2
Söndergaard,WOL,GKP,4.0,NotAvail,0,0,0,0.0,1.0
Fabio Silva,WOL,FWD,5.8,Available,18,4,0,1.0,0.4
Mosquera,WOL,DEF,4.5,Injured,0,0,0,0.0,0.0
Ruddy,WOL,GKP,4.4,Available,0,0,0,0.0,0.2
Trincão,WOL,MID,5.9,Available,474,14,0,2.3,0.8
Ait Nouri,WOL,DEF,4.3,Available,6,1,0,1.0,0.2
Sá,WOL,GKP,5.0,Available,630,30,3,4.3,2.6
Cutrone,WOL,FWD,5.0,NotAvail,0,0,0,0.0,0.1
Cundle,WOL,MID,4.5,Available,0,0,0,0.0,0.1
Campbell,WOL,MID,4.5,Available,0,0,0,0.0,0.3
Marques,WOL,DEF,4.0,NotAvail,0,0,0,0.0,0.3
Hwang,WOL,FWD,5.5,Available,249,24,6,6.0,2.3
Moulden,WOL,GKP,4.0,Available,0,0,0,0.0,0.1
