,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
46,Cornet,5.9,58,MID,4.1,BUR,9.83,cornet
50,Kanté,4.9,48,MID,3.0,CHE,9.80,kante
101,Burn,4.4,43,DEF,2.9,NEW,9.77,burn
40,Chilwell,5.6,54,DEF,9.0,CHE,9.64,chilwell
2,Partey,5.0,48,MID,2.7,ARS,9.60,partey
52,Coleman,4.9,47,DEF,2.6,EVE,9.59,coleman
147,McLean,4.9,47,MID,2.0,NOR,9.59,mclean
24,Dubravka,4.4,42,GKP,3.5,NEW,9.55,dubravka
2,Watkins,7.6,72,FWD,3.4,AVL,9.47,watkins
44,Sargent,5.4,51,FWD,2.4,NOR,9.44,sargent
41,Westwood,5.3,50,MID,2.6,BUR,9.43,westwood
129,Davies,4.5,42,DEF,3.0,TOT,9.33,davies
69,Cooper,4.4,41,DEF,2.7,LEE,9.32,cooper
43,Brownhill,4.3,40,MID,2.1,BUR,9.30,brownhill
55,Hudson-Odoi,5.3,49,MID,3.3,CHE,9.25,hudson-odoi
94,Lindelöf,4.8,44,DEF,2.6,MUN,9.17,lindelof
107,Mané,11.7,107,MID,4.9,LIV,9.15,mane
44,McNeil,5.7,52,MID,2.4,BUR,9.12,mcneil
58,Hwang,5.4,49,FWD,3.1,WOL,9.07,hwang
66,Olise,5.4,49,MID,2.7,CRY,9.07,olise
92,Shaw,5.0,45,DEF,2.5,MUN,9.00,shaw
15,Ayew,5.8,52,FWD,2.3,CRY,8.97,ayew
48,A.Armstrong,5.7,51,FWD,2.7,SOU,8.95,a.armstrong
98,Varane,5.5,49,DEF,3.3,MUN,8.91,varane
97,Dalot,4.6,41,DEF,2.7,MUN,8.91,dalot
140,Fraser,5.3,47,MID,2.5,NEW,8.87,fraser
14,Benteke,6.1,54,FWD,2.6,CRY,8.85,benteke
150,Rashica,5.2,46,MID,2.4,NOR,8.85,rashica
138,Willock,5.7,50,MID,2.5,NEW,8.77,willock
105,Manquillo,3.9,34,DEF,2.3,NEW,8.72,manquillo
85,Stones,5.2,45,DEF,5.6,MCI,8.65,stones
13,Digne,5.1,44,DEF,2.4,AVL,8.63,digne
51,Ziyech,7.3,63,MID,4.5,CHE,8.63,ziyech
107,Schär,4.3,37,DEF,2.6,NEW,8.60,schar
137,Cathcart,4.3,37,DEF,1.8,WAT,8.60,cathcart
138,Femenía,4.3,37,DEF,2.2,WAT,8.60,femenia
62,Schlupp,5.4,46,MID,2.3,CRY,8.52,schlupp
89,Lookman,6.0,51,MID,3.0,LEI,8.50,lookman
90,Klich,5.2,44,MID,2.3,LEE,8.46,klich
32,Jesus,8.4,71,FWD,3.7,MCI,8.45,jesus
19,Ajer,4.4,37,DEF,2.8,BRE,8.41,ajer
59,McArthur,4.3,36,MID,2.8,CRY,8.37,mcarthur
37,Wood,6.7,56,FWD,2.5,NEW,8.36,wood
120,De Bruyne,12.0,99,MID,5.2,MCI,8.25,de bruyne
162,Diallo,4.5,37,MID,2.1,SOU,8.22,diallo
110,Williams,3.9,32,DEF,1.7,NOR,8.21,williams
38,Wilson,7.2,59,FWD,3.9,NEW,8.19,wilson
116,Gibson,4.4,36,DEF,1.7,NOR,8.18,gibson
195,Podence,5.5,45,MID,2.5,WOL,8.18,podence
148,Ogbonna,4.9,40,DEF,3.6,WHU,8.16,ogbonna
87,Aké,4.7,38,DEF,4.2,MCI,8.09,ake
147,Zouma,5.4,43,DEF,3.1,WHU,7.96,zouma
155,Johnson,3.9,31,DEF,2.6,WHU,7.95,johnson
33,Bissouma,4.4,35,MID,2.1,BHA,7.95,bissouma
36,Ronaldo,12.4,98,FWD,4.5,MUN,7.90,ronaldo
111,Keita,5.0,39,MID,3.0,LIV,7.80,keita
41,Joelinton,5.8,45,FWD,2.0,NEW,7.76,joelinton
139,Shelvey,5.3,41,MID,2.6,NEW,7.74,shelvey
118,Grealish,7.5,58,MID,3.4,MCI,7.73,grealish
170,Skipp,4.4,34,MID,1.9,TOT,7.73,skipp
151,Lees-Melou,4.8,37,MID,1.9,NOR,7.71,lees-melou
66,Thomas,4.3,33,DEF,2.2,LEI,7.67,thomas
23,Vardy,10.3,79,FWD,4.9,LEI,7.67,vardy
141,Murphy,4.7,36,MID,1.9,NEW,7.66,murphy
19,Richarlison,7.5,57,FWD,3.6,EVE,7.60,richarlison
26,Rodrigo,6.2,47,FWD,2.8,LEE,7.58,rodrigo
29,Lallana,5.3,40,MID,2.0,BHA,7.55,lallana
24,Jensen,4.9,37,MID,1.9,BRE,7.55,jensen
136,Sancho,8.9,67,MID,3.2,MUN,7.53,sancho
3,Ings,7.7,58,FWD,3.2,AVL,7.53,ings
145,Gilmour,4.3,32,MID,2.1,NOR,7.44,gilmour
64,Söyüncü,4.9,36,DEF,1.8,LEI,7.35,soyuncu
43,Idah,4.9,36,FWD,2.1,NOR,7.35,idah
86,Ndidi,4.8,35,MID,2.2,LEI,7.29,ndidi
143,S.Longstaff,4.4,32,MID,2.1,NEW,7.27,s.longstaff
103,Lascelles,4.4,32,DEF,1.8,NEW,7.27,lascelles
28,Wissa,5.8,42,MID,2.3,BRE,7.24,wissa
106,Chamberlain,5.8,42,MID,2.5,LIV,7.24,chamberlain
5,Tavares,4.3,31,DEF,2.4,ARS,7.21,tavares
30,Groß,5.7,40,MID,2.4,BHA,7.02,groß
54,Cucho,5.0,35,FWD,1.9,WAT,7.00,cucho
0,Lacazette,8.3,58,FWD,3.2,ARS,6.99,lacazette
133,Tanganga,4.2,29,DEF,2.6,TOT,6.90,tanganga
4,Fernández,4.5,31,GKP,2.6,BRE,6.89,fernandez
130,Pogba,7.4,51,MID,3.9,MUN,6.89,pogba
87,Soumaré,4.8,33,MID,1.9,LEI,6.88,soumare
51,João Pedro,5.4,37,FWD,2.1,WAT,6.85,joao pedro
12,Young,4.7,32,DEF,2.3,AVL,6.81,young
49,Kane,12.2,83,FWD,3.8,TOT,6.80,kane
197,Trincão,5.6,38,MID,2.0,WOL,6.79,trincao
105,Thiago,5.3,36,MID,2.6,LIV,6.79,thiago
26,Onyeka,4.9,33,MID,1.8,BRE,6.73,onyeka
25,Daka,7.2,48,FWD,4.0,LEI,6.67,daka
24,Iheanacho,6.9,46,FWD,2.9,LEI,6.67,iheanacho
16,Roerslev,4.2,28,DEF,2.0,BRE,6.67,roerslev
56,Havertz,7.8,52,MID,3.1,CHE,6.67,havertz
153,Normann,4.5,30,MID,2.5,NOR,6.67,normann
174,Cleverley,4.8,32,MID,1.7,WAT,6.67,cleverley
93,Roberts,4.8,32,MID,1.5,LEE,6.67,roberts
126,Fernandinho,4.7,31,MID,2.4,MCI,6.60,fernandinho
179,Kucka,5.5,36,MID,1.8,WAT,6.55,kucka
27,Baptiste,4.9,32,MID,1.7,BRE,6.53,baptiste
70,Ayling,4.3,28,DEF,1.9,LEE,6.51,ayling
96,Wan-Bissaka,5.1,33,DEF,2.1,MUN,6.47,wan-bissaka
90,Zinchenko,5.3,34,DEF,4.2,MCI,6.42,zinchenko
88,Dewsbury-Hall,4.4,28,MID,2.0,LEI,6.36,dewsbury-hall
8,Rodriguez,5.2,33,FWD,1.8,BUR,6.35,rodriguez
45,Lennon,4.9,31,MID,2.4,BUR,6.33,lennon
62,Amartey,3.8,24,DEF,1.7,LEI,6.32,amartey
169,Bergwijn,5.9,37,MID,3.1,TOT,6.27,bergwijn
123,Perraud,4.8,30,DEF,2.3,SOU,6.25,perraud
31,March,5.3,33,MID,1.7,BHA,6.23,march
73,Iwobi,5.8,36,MID,2.4,EVE,6.21,iwobi
93,Telles,5.0,31,DEF,3.1,MUN,6.20,telles
29,Pieters,4.2,26,DEF,2.9,BUR,6.19,pieters
56,Godfrey,4.7,29,DEF,1.7,EVE,6.17,godfrey
152,Masuaku,4.4,27,DEF,2.5,WHU,6.14,masuaku
27,Forster,4.4,27,GKP,3.4,SOU,6.14,forster
42,Gudmundsson,5.4,33,MID,1.8,BUR,6.11,gudmundsson
6,Welbeck,5.9,36,FWD,3.0,BHA,6.10,welbeck
99,Forshaw,4.5,27,MID,1.8,LEE,6.00,forshaw
37,Mwepu,5.9,35,MID,3.2,BHA,5.93,mwepu
129,Matic,4.3,25,MID,1.9,MUN,5.81,matic
154,Diop,4.3,25,DEF,2.8,WHU,5.81,diop
34,Roberts,4.5,26,DEF,4.3,BUR,5.78,roberts
26,Gunn,4.0,23,GKP,3.8,NOR,5.75,gunn
65,Hughes,4.7,27,MID,2.7,CRY,5.74,hughes
52,Loftus-Cheek,5.4,31,MID,2.4,CHE,5.74,loftus-cheek
142,Almirón,5.1,29,MID,1.6,NEW,5.69,almiron
30,Firmino,8.7,49,FWD,3.3,LIV,5.63,firmino
113,Jones,5.0,28,MID,3.1,LIV,5.60,jones
103,Milner,4.9,27,MID,1.7,LIV,5.51,milner
63,Castagne,5.3,29,DEF,1.8,LEI,5.47,castagne
7,Sambi Lokonga,4.8,26,MID,1.9,ARS,5.42,sambi lokonga
134,Rashford,9.4,50,MID,3.1,MUN,5.32,rashford
92,Phillips,4.7,25,MID,2.1,LEE,5.32,phillips
13,Lukaku,11.5,61,FWD,3.6,CHE,5.30,lukaku
32,Bachmann,4.2,22,GKP,2.0,WAT,5.24,bachmann
117,Giannoulis,4.4,23,DEF,2.1,NOR,5.23,giannoulis
168,Winks,4.4,23,MID,2.1,TOT,5.23,winks
29,Gelhardt,4.6,24,FWD,2.7,LEE,5.22,gelhardt
137,Elanga,4.8,25,MID,2.8,MUN,5.21,elanga
109,Trippier,5.0,26,DEF,6.5,NEW,5.20,trippier
80,Albrighton,5.2,27,MID,2.2,LEI,5.19,albrighton
61,Pereira,5.2,27,DEF,2.7,LEI,5.19,pereira
10,Vydra,5.2,27,FWD,1.7,BUR,5.19,vydra
55,Holgate,4.2,21,DEF,1.8,EVE,5.00,holgate
53,Pulisic,7.9,39,MID,3.0,CHE,4.94,pulisic
23,Ghoddos,5.3,26,MID,1.7,BRE,4.91,ghoddos
33,Collins,4.3,21,DEF,3.5,BUR,4.88,collins
75,Dele,6.2,29,MID,2.2,EVE,4.68,dele
0,Xhaka,4.8,22,MID,1.8,ARS,4.58,xhaka
8,Hause,4.4,20,DEF,2.9,AVL,4.55,hause
16,Bailey,6.3,28,MID,2.5,AVL,4.44,bailey
23,Darlow,4.5,20,GKP,2.5,NEW,4.44,darlow
42,Sarr,4.9,21,DEF,5.2,CHE,4.29,sarr
145,Kamara,4.5,19,DEF,3.2,WAT,4.22,kamara
158,S.Armstrong,5.8,24,MID,2.0,SOU,4.14,s.armstrong
82,Konaté,5.1,21,DEF,3.0,LIV,4.12,konate
39,Cork,4.4,18,MID,2.0,BUR,4.09,cork
10,Arrizabalaga,4.7,19,GKP,4.8,CHE,4.04,arrizabalaga
20,Rondón,6.0,24,FWD,1.7,EVE,4.00,rondon
18,Coutinho,7.3,29,MID,5.8,AVL,3.97,coutinho
140,Troost-Ekong,4.3,17,DEF,1.1,WAT,3.95,troost-ekong
44,Tomkins,4.3,17,DEF,2.1,CRY,3.95,tomkins
189,Vlasic,5.6,22,MID,1.7,WHU,3.93,vlasic
146,Samir,4.5,17,DEF,2.8,WAT,3.78,samir
3,Pépé,6.9,26,MID,2.6,ARS,3.77,pepe
68,El Ghazi,5.6,21,MID,2.1,EVE,3.75,el ghazi
110,Minamino,5.1,19,MID,1.9,LIV,3.73,minamino
18,Calvert-Lewin,7.8,29,FWD,3.6,EVE,3.72,calvert-lewin
118,Kabak,4.3,16,DEF,1.8,NOR,3.72,kabak
73,Struijk,4.3,16,DEF,0.9,LEE,3.72,struijk
102,Ritchie,4.9,18,DEF,1.1,NEW,3.67,ritchie
16,Mateta,5.2,19,FWD,1.9,CRY,3.65,mateta
95,Shackleton,4.4,16,MID,1.5,LEE,3.64,shackleton
12,Nakamba,4.4,16,MID,1.3,AVL,3.64,nakamba
160,Tella,4.7,17,MID,1.7,SOU,3.62,tella
115,Omobamidele,3.9,14,DEF,2.8,NOR,3.59,omobamidele
60,Evans,5.4,19,DEF,1.9,LEI,3.52,evans
74,van de Beek,5.7,20,MID,1.8,EVE,3.51,van de beek
35,Cavani,8.4,29,FWD,2.6,MUN,3.45,cavani
132,Lingard,6.7,23,MID,1.9,MUN,3.43,lingard
1,Holding,4.1,14,DEF,2.0,ARS,3.41,holding
13,Butland,4.4,15,GKP,3.8,CRY,3.41,butland
57,Kenny,4.4,15,DEF,2.5,EVE,3.41,kenny
54,Mina,4.9,16,DEF,1.6,EVE,3.27,mina
143,Ngakia,4.3,14,DEF,1.2,WAT,3.26,ngakia
27,Bamford,7.7,25,FWD,4.2,LEE,3.25,bamford
11,Weghorst,6.5,21,FWD,5.2,BUR,3.23,weghorst
149,Placheta,4.7,15,MID,1.7,NOR,3.19,placheta
146,Rupp,4.4,14,MID,1.4,NOR,3.18,rupp
31,Origi,4.8,15,FWD,3.8,LIV,3.12,origi
175,Sema,5.2,16,MID,1.3,WAT,3.08,sema
106,Krafth,4.3,13,DEF,1.4,NEW,3.02,krafth
35,Sá,5.2,112,GKP,4.7,WOL,21.54,sa
185,Bowen,7.1,149,MID,5.7,WHU,20.99,bowen
157,Coady,4.7,98,DEF,4.1,WOL,20.85,coady
1,Ramsdale,5.1,103,GKP,5.2,ARS,20.20,ramsdale
86,Cancelo,7.1,142,DEF,5.9,MCI,20.00,cancelo
148,Dowell,5.1,15,MID,1.5,NOR,2.94,dowell
135,Romero,4.8,14,DEF,1.4,TOT,2.92,romero
17,Chukwuemeka,4.5,13,MID,1.4,AVL,2.89,chukwuemeka
71,André Gomes,4.9,14,MID,1.3,EVE,2.86,andre gomes
60,Milivojevic,5.3,15,MID,1.5,CRY,2.83,milivojevic
162,Hoever,3.9,11,DEF,1.8,WOL,2.82,hoever
141,Masina,4.3,12,DEF,1.1,WAT,2.79,masina
12,Werner,8.6,24,FWD,2.2,CHE,2.79,werner
74,Firpo,4.7,13,DEF,0.9,LEE,2.77,firpo
152,Tzolis,4.8,13,MID,1.2,NOR,2.71,tzolis
21,Zanka,4.5,12,DEF,1.7,BRE,2.67,zanka
108,Fernández,4.3,11,DEF,1.6,NEW,2.56,fernandez
57,Fabio Silva,5.6,14,FWD,1.1,WOL,2.50,fabio silva
119,Stephens,4.4,11,DEF,1.6,SOU,2.50,stephens
177,Louza,5.2,13,MID,1.3,WAT,2.50,louza
1,Elneny,4.4,11,MID,1.6,ARS,2.50,elneny
0,Cédric,4.2,10,DEF,1.7,ARS,2.38,cedric
67,Vestergaard,4.7,11,DEF,1.1,LEI,2.34,vestergaard
127,Doherty,4.7,11,DEF,1.4,TOT,2.34,doherty
171,Kulusevski,6.0,14,MID,4.7,TOT,2.33,kulusevski
9,Barnes,5.2,12,FWD,1.1,BUR,2.31,barnes
180,Kayembe,4.8,11,MID,2.2,WAT,2.29,kayembe
82,Pérez,5.7,13,MID,1.6,LEI,2.28,perez
126,Lyanco,4.4,10,DEF,0.9,SOU,2.27,lyanco
58,Branthwaite,4.0,9,DEF,4.5,EVE,2.25,branthwaite
131,Sessegnon,4.3,9,DEF,1.5,TOT,2.09,sessegnon
34,Alzate,4.8,10,MID,1.4,BHA,2.08,alzate
155,Walcott,5.8,12,MID,1.3,SOU,2.07,walcott
181,Noble,4.4,9,MID,2.2,WHU,2.05,noble
127,Palmer,4.5,9,MID,2.2,MCI,2.00,palmer
22,de Gea,5.3,104,GKP,4.0,MUN,19.62,de gea
161,Kilman,4.6,90,DEF,3.8,WOL,19.57,kilman
4,White,4.5,85,DEF,4.0,ARS,18.89,white
3,Gabriel,5.3,99,DEF,5.0,ARS,18.68,gabriel
88,Laporte,5.8,108,DEF,5.1,MCI,18.62,laporte
80,Alexander-Arnold,8.5,156,DEF,7.1,LIV,18.35,alexander-arnold
7,Sánchez,4.6,84,GKP,3.5,BHA,18.26,sanchez
89,Dias,6.3,115,DEF,4.8,MCI,18.25,dias
20,Ederson,6.1,110,GKP,4.4,MCI,18.03,ederson
18,Alisson,6.0,108,GKP,4.7,LIV,18.00,alisson
